;index;date;couleur des yeux;age;exp;salaire;sexe;diplome;métier;note;dispo;embauche;ville d'origine
3000;3000;11/04/2010;Marron;26.0;10.0;34351.0;F;master;Data Scientist;83.35;non;0;2
3001;3001;08/09/2010;Vert;19.0;7.0;37152.0;F;bac;Data Scientist;54.23;non;0;8
3002;3002;10/07/2013;Vert;49.0;15.0;33341.0;M;licence;Data Scientist;67.78;non;1;9
3003;3003;15/06/2013;Hazel;35.0;12.0;37411.0;M;licence;Data Scientist;58.17;non;0;2
3004;3004;22/06/2010;Bleu;31.0;2.0;31699.0;M;master;Data Scientist;71.36;oui;0;3
3005;3005;18/03/2014;Marron;37.0;9.0;31654.0;F;master;Data Scientist;101.76;non;0;13
3006;3006;10/05/2010;Hazel;31.0;11.0;46825.0;M;licence;Data Steward;69.5;oui;0;2
3007;3007;17/10/2010;Marron;40.0;5.0;23301.0;F;doctorat;Data Analyst;134.14;oui;0;6
3008;3008;17/01/2014;Vert;25.0;11.0;30523.0;F;bac;Data Scientist;75.27;non;0;11
3009;3009;01/08/2013;Marron;33.0;9.0;39674.0;F;master;Data Analyst;90.94;non;0;4
3010;3010;25/12/2010;Hazel;28.0;2.0;36654.0;F;master;Data Engineer;97.87;oui;0;9
3011;3011;16/11/2014;Bleu;57.0;9.0;32163.0;M;master;Data Scientist;83.29;non;0;13
3012;3012;14/08/2012;Bleu;26.0;5.0;36251.0;M;licence;Data Scientist;60.04;non;0;7
3013;3013;24/03/2011;Bleu;41.0;10.0;30932.0;M;licence;Data Scientist;68.27;non;0;12
3014;3014;30/07/2013;Marron;29.0;13.0;26158.0;F;doctorat;Data Analyst;110.16;non;0;1
3015;3015;13/10/2010;Hazel;39.0;6.0;42863.0;F;licence;Data Analyst;79.38;non;0;9
3016;3016;02/02/2011;Bleu;27.0;15.0;33658.0;M;master;Data Analyst;78.0;oui;0;7
3017;3017;19/05/2013;Hazel;23.0;8.0;35673.0;F;licence;Data Analyst;76.74;non;0;15
3018;3018;14/08/2012;Bleu;28.0;8.0;35048.0;M;licence;Data Scientist;77.1;oui;0;1
3019;3019;27/12/2011;Hazel;38.0;9.0;43577.0;F;licence;Data Steward;80.49;oui;0;15
3020;3020;15/05/2014;Hazel;42.0;7.0;32476.0;F;licence;Data Engineer;67.16;non;0;13
3021;3021;03/01/2013;Hazel;40.0;13.0;33635.0;M;doctorat;Data Engineer;92.16;oui;0;11
3022;3022;05/11/2014;Bleu;34.0;10.0;29184.0;M;master;Data Scientist;70.09;non;0;12
3023;3023;27/02/2014;Bleu;38.0;10.0;37202.0;M;licence;Data Engineer;90.59;non;1;6
3024;3024;18/07/2012;Bleu;46.0;8.0;38226.0;M;doctorat;Data Scientist;94.4;oui;1;6
3025;3025;29/10/2013;Bleu;46.0;13.0;35212.0;M;licence;Data Scientist;67.04;non;0;13
3026;3026;01/10/2011;Bleu;36.0;15.0;37444.0;M;licence;Data Engineer;94.09;oui;1;15
3027;3027;08/10/2013;Bleu;45.0;11.0;42486.0;M;licence;Data Analyst;59.03;non;0;7
3028;3028;09/12/2012;Bleu;43.0;9.0;31171.0;M;master;Data Scientist;100.54;oui;0;5
3029;3029;31/07/2012;Marron;46.0;10.0;33148.0;F;master;Data Scientist;87.33;non;0;12
3030;3030;27/09/2011;Hazel;27.0;8.0;23487.0;F;licence;Data Scientist;84.49;non;0;2
3031;3031;10/01/2011;Vert;;15.0;33908.0;M;licence;Data Scientist;71.86;non;0;5
3032;3032;22/12/2013;Hazel;37.0;8.0;38704.0;M;licence;Data Engineer;62.4;oui;0;10
3033;3033;01/09/2012;Marron;35.0;6.0;33435.0;F;master;Data Scientist;60.07;non;1;1
3034;3034;09/06/2014;Hazel;13.0;8.0;29003.0;F;master;Data Scientist;90.36;non;0;14
3035;3035;12/01/2011;Hazel;39.0;10.0;34024.0;M;licence;Data Engineer;77.13;non;1;13
3036;3036;11/09/2013;Bleu;24.0;13.0;40154.0;M;master;Data Scientist;94.25;oui;1;15
3037;3037;18/11/2011;Bleu;45.0;13.0;32517.0;M;licence;Data Scientist;55.08;non;0;4
3038;3038;25/03/2011;Hazel;28.0;9.0;27237.0;F;master;Data Scientist;118.82;non;0;15
3039;3039;27/10/2013;Bleu;39.0;5.0;31421.0;M;master;Data Scientist;73.49;non;0;11
3040;3040;05/06/2011;Vert;24.0;12.0;37478.0;F;bac;Data Steward;73.08;oui;0;1
3041;3041;28/05/2012;Marron;31.0;8.0;39443.0;F;doctorat;Data Steward;100.91;oui;0;6
3042;3042;10/05/2012;Marron;42.0;14.0;31750.0;F;master;Data Scientist;95.51;non;0;12
3043;3043;16/01/2010;Hazel;34.0;3.0;34257.0;F;master;Data Engineer;76.92;non;0;13
3044;3044;06/06/2014;Bleu;39.0;7.0;28855.0;M;doctorat;Data Scientist;74.42;non;1;9
3045;3045;10/11/2011;Hazel;40.0;12.0;33592.0;;master;Data Analyst;70.18;non;0;12
3046;3046;17/04/2014;Hazel;49.0;9.0;36613.0;M;doctorat;Data Steward;81.4;oui;0;1
3047;3047;20/05/2012;Bleu;37.0;7.0;29860.0;M;licence;Data Scientist;74.69;non;0;13
3048;3048;22/12/2011;Hazel;28.0;9.0;27489.0;M;master;Data Scientist;91.49;non;0;11
3049;3049;07/01/2012;Hazel;46.0;9.0;32074.0;M;licence;Data Scientist;59.14;non;0;7
3050;3050;26/05/2014;Hazel;36.0;13.0;28999.0;M;master;Data Analyst;79.89;non;1;10
3051;3051;24/04/2014;Hazel;35.0;12.0;38743.0;M;bac;Data Scientist;54.78;non;0;4
3052;3052;06/05/2012;Bleu;27.0;4.0;32548.0;M;master;Data Scientist;93.2;oui;1;5
3053;3053;01/02/2011;Marron;20.0;9.0;34483.0;M;doctorat;Data Scientist;69.17;non;0;9
3054;3054;19/05/2010;Hazel;41.0;13.0;28571.0;F;master;Data Scientist;77.85;non;0;15
3055;3055;17/07/2014;Marron;31.0;4.0;;F;licence;Data Engineer;54.71;non;0;15
3056;3056;31/01/2012;Marron;38.0;5.0;34253.0;F;doctorat;Data Scientist;92.32;oui;0;1
3057;3057;30/11/2013;Bleu;47.0;6.0;35899.0;M;licence;Data Scientist;69.26;non;0;1
3058;3058;21/01/2011;Bleu;41.0;9.0;37327.0;M;licence;Data Scientist;80.88;oui;0;15
3059;3059;03/06/2011;Hazel;31.0;8.0;38807.0;M;master;Data Engineer;71.12;oui;0;7
3060;3060;02/04/2012;Hazel;17.0;10.0;34638.0;F;master;Data Analyst;64.61;non;0;4
3061;3061;27/01/2014;Marron;21.0;8.0;33902.0;F;doctorat;Data Engineer;75.65;oui;0;12
3062;3062;13/11/2013;Hazel;23.0;12.0;31231.0;F;master;Data Scientist;95.06;non;0;11
3063;3063;11/03/2012;Hazel;20.0;9.0;37241.0;F;licence;Data Analyst;70.44;non;0;12
3064;3064;16/07/2013;Marron;15.0;9.0;35961.0;F;master;Data Steward;86.13;oui;0;1
3065;3065;14/11/2013;Marron;28.0;4.0;35947.0;M;master;Data Analyst;70.07;oui;0;4
3066;3066;13/09/2011;Hazel;25.0;13.0;36686.0;M;master;Data Engineer;59.34;oui;0;14
3067;3067;12/05/2013;Hazel;43.0;14.0;35513.0;M;master;Data Analyst;69.41;oui;0;7
3068;3068;05/08/2014;Marron;32.0;11.0;40499.0;M;master;Data Engineer;73.75;oui;0;8
3069;3069;02/08/2013;Hazel;51.0;10.0;35935.0;F;master;Data Engineer;81.86;oui;0;14
3070;3070;02/11/2012;Bleu;50.0;10.0;34198.0;M;;Data Scientist;76.61;non;0;5
3071;3071;26/09/2014;Vert;35.0;13.0;38682.0;M;bac;Data Scientist;57.59;non;0;8
3072;3072;18/12/2010;Hazel;44.0;12.0;44149.0;M;licence;Data Analyst;59.84;oui;0;14
3073;3073;28/06/2010;Marron;40.0;14.0;31005.0;F;doctorat;Data Scientist;78.93;non;0;4
3074;3074;14/08/2014;Marron;25.0;12.0;30684.0;F;licence;Data Engineer;60.31;non;1;5
3075;3075;05/03/2012;Bleu;43.0;10.0;28589.0;M;master;Data Scientist;95.47;oui;0;5
3076;3076;18/06/2011;Marron;45.0;10.0;33500.0;F;master;Data Engineer;96.85;non;0;12
3077;3077;16/05/2012;Hazel;31.0;8.0;33277.0;F;doctorat;Data Engineer;124.61;oui;0;9
3078;3078;30/04/2013;Hazel;18.0;5.0;43480.0;M;bac;Data Scientist;60.97;non;0;7
3079;3079;06/09/2013;Vert;46.0;8.0;34135.0;M;bac;Data Scientist;54.73;non;0;6
3080;3080;04/07/2012;Bleu;37.0;8.0;37316.0;M;licence;Data Scientist;62.07;non;0;5
3081;3081;27/08/2014;Marron;40.0;8.0;35528.0;F;master;Data Analyst;48.87;non;1;2
3082;3082;20/09/2011;Marron;42.0;10.0;46964.0;M;licence;Data Scientist;34.16;non;0;5
3083;3083;22/12/2014;Marron;41.0;7.0;53479.0;M;licence;Data Engineer;44.05;oui;0;3
3084;3084;05/03/2012;Hazel;22.0;6.0;31932.0;M;master;Data Scientist;72.45;non;0;8
3085;3085;15/07/2013;Marron;38.0;9.0;32931.0;F;licence;Data Analyst;56.83;non;1;10
3086;3086;01/01/2011;Vert;52.0;11.0;29395.0;M;licence;Data Scientist;79.88;oui;0;7
3087;3087;30/11/2010;Hazel;54.0;7.0;33800.0;M;master;Data Scientist;84.33;non;0;3
3088;3088;14/04/2010;Marron;39.0;11.0;25132.0;F;doctorat;Data Scientist;92.53;non;0;11
3089;3089;22/12/2010;Bleu;60.0;10.0;39394.0;M;licence;Data Analyst;60.04;oui;0;9
3090;3090;20/09/2012;Bleu;36.0;7.0;41137.0;M;bac;Data Scientist;57.12;non;0;2
3091;3091;03/08/2011;Bleu;40.0;6.0;37792.0;M;licence;Data Steward;90.12;non;1;15
3092;3092;02/11/2011;Hazel;38.0;9.0;30589.0;F;master;Data Scientist;87.59;non;0;11
3093;3093;03/04/2010;Hazel;25.0;11.0;44465.0;F;bac;Data Scientist;82.98;non;0;1
3094;3094;14/06/2012;Marron;50.0;4.0;31421.0;M;master;Data Analyst;60.98;non;1;1
3095;3095;10/03/2014;Bleu;34.0;11.0;39005.0;F;licence;Data Analyst;72.85;non;0;8
3096;3096;02/10/2011;Hazel;29.0;6.0;37131.0;M;licence;Data Analyst;51.58;non;0;3
3097;3097;27/04/2010;Hazel;24.0;15.0;42258.0;M;licence;Data Analyst;44.64;non;0;8
3098;3098;25/01/2011;Bleu;53.0;10.0;26540.0;F;licence;Data Scientist;88.26;non;0;4
3099;3099;22/11/2013;Marron;51.0;12.0;26949.0;M;master;Data Scientist;81.27;non;0;15
3100;3100;22/08/2012;Hazel;36.0;9.0;35183.0;M;doctorat;Data Analyst;97.5;oui;0;6
3101;3101;20/12/2014;Hazel;40.0;9.0;34835.0;F;master;Data Steward;90.94;oui;0;6
3102;3102;13/03/2012;Hazel;27.0;16.0;33327.0;F;licence;Data Scientist;89.46;non;0;9
3103;3103;18/04/2012;Bleu;23.0;11.0;26589.0;F;master;Data Engineer;107.41;oui;0;11
3104;3104;10/05/2013;Hazel;51.0;10.0;41604.0;F;licence;Data Steward;58.1;oui;0;11
3105;3105;21/07/2010;Hazel;51.0;8.0;28505.0;M;master;Data Scientist;84.98;non;0;1
3106;3106;09/07/2010;Bleu;48.0;11.0;39980.0;M;licence;Data Engineer;89.3;oui;1;9
3107;3107;03/04/2014;Marron;43.0;3.0;41269.0;M;master;Data Engineer;78.63;oui;0;5
3108;3108;05/07/2011;Hazel;38.0;12.0;30530.0;M;master;Data Analyst;98.2;oui;0;10
3109;3109;04/12/2011;Hazel;52.0;6.0;38544.0;F;licence;Data Steward;61.34;oui;0;10
3110;3110;04/05/2010;Bleu;34.0;11.0;35319.0;M;bac;Data Scientist;62.81;non;0;8
3111;3111;23/11/2012;Vert;22.0;15.0;33666.0;M;licence;Data Scientist;69.08;non;0;8
3112;3112;27/09/2014;Marron;45.0;13.0;35523.0;M;master;Data Scientist;63.82;non;0;7
3113;3113;31/07/2014;Bleu;;15.0;31091.0;F;licence;Data Scientist;65.86;non;0;14
3114;3114;22/12/2014;Hazel;33.0;9.0;36626.0;M;master;Data Scientist;81.56;oui;0;12
3115;3115;27/04/2011;Vert;43.0;5.0;34531.0;M;bac;Data Scientist;51.45;non;0;15
3116;3116;08/09/2012;Bleu;27.0;9.0;28742.0;F;master;Data Steward;119.15;oui;0;6
3117;3117;14/05/2014;Hazel;44.0;11.0;34272.0;F;master;Data Steward;95.16;oui;0;6
3118;3118;05/09/2012;Marron;50.0;12.0;33518.0;F;master;Data Analyst;92.21;non;0;7
3119;3119;11/05/2011;Hazel;36.0;9.0;40312.0;M;master;Data Engineer;67.99;oui;0;13
3120;3120;08/02/2014;Hazel;55.0;9.0;31698.0;F;licence;Data Scientist;83.28;non;0;9
3121;3121;19/07/2010;Bleu;19.0;12.0;32495.0;M;licence;Data Scientist;83.13;non;1;15
3122;3122;13/08/2010;Bleu;30.0;12.0;37442.0;F;licence;Data Engineer;78.31;non;0;12
3123;3123;04/12/2014;Marron;37.0;8.0;35083.0;F;licence;Data Analyst;62.5;non;0;14
3124;3124;03/05/2012;Marron;35.0;15.0;41377.0;F;licence;Data Engineer;58.0;oui;0;4
3125;3125;31/10/2014;Vert;21.0;12.0;37627.0;M;bac;Data Scientist;52.55;non;0;15
3126;3126;22/03/2010;Hazel;36.0;9.0;46355.0;F;licence;Data Engineer;77.5;oui;0;12
3127;3127;12/07/2013;Marron;42.0;11.0;36344.0;M;master;Data Analyst;76.61;oui;0;13
3128;3128;28/04/2011;Marron;28.0;10.0;33732.0;M;doctorat;Data Scientist;92.71;oui;0;4
3129;3129;21/06/2011;Vert;26.0;9.0;39280.0;M;bac;Data Engineer;61.39;non;0;12
3130;3130;02/09/2013;Marron;24.0;9.0;36628.0;M;master;Data Analyst;49.3;oui;0;4
3131;3131;21/03/2010;Marron;41.0;10.0;44261.0;F;licence;Data Analyst;69.31;non;0;11
3132;3132;24/10/2014;Marron;32.0;9.0;34249.0;M;master;Data Scientist;64.47;non;0;3
3133;3133;01/11/2012;Hazel;33.0;11.0;32460.0;F;licence;Data Scientist;78.1;non;0;14
3134;3134;21/01/2011;Hazel;24.0;8.0;36901.0;F;master;Data Engineer;87.85;;0;15
3135;3135;16/03/2014;Hazel;22.0;10.0;33631.0;F;master;Data Steward;81.94;oui;0;3
3136;3136;17/01/2012;Marron;34.0;11.0;29677.0;F;doctorat;Data Scientist;95.86;oui;0;2
3137;3137;02/11/2010;Marron;47.0;7.0;33742.0;F;doctorat;Data Engineer;92.96;oui;0;14
3138;3138;02/03/2010;Bleu;39.0;12.0;35491.0;M;licence;Data Scientist;55.31;non;0;1
3139;3139;23/03/2010;Marron;42.0;12.0;33636.0;M;master;Data Scientist;82.12;non;0;8
3140;3140;23/09/2014;Bleu;28.0;11.0;35458.0;F;licence;Data Scientist;78.4;non;1;12
3141;3141;11/08/2010;Hazel;48.0;13.0;43957.0;M;licence;Data Scientist;64.23;non;0;4
3142;3142;08/09/2014;Marron;46.0;15.0;39925.0;M;doctorat;Data Engineer;67.37;oui;0;8
3143;3143;05/07/2012;Bleu;29.0;7.0;36778.0;M;licence;Data Scientist;65.51;oui;0;4
3144;3144;04/05/2013;Bleu;43.0;10.0;39342.0;M;bac;Data Analyst;54.37;non;0;3
3145;3145;01/01/2010;Hazel;42.0;6.0;38102.0;M;licence;Data Scientist;72.46;non;0;12
3146;3146;02/01/2010;Marron;24.0;10.0;40823.0;M;master;Data Scientist;61.18;oui;0;3
3147;3147;10/07/2012;Marron;35.0;7.0;34910.0;M;master;Data Scientist;93.67;oui;0;2
3148;3148;18/11/2010;Bleu;27.0;6.0;39980.0;M;licence;Data Scientist;93.08;oui;1;14
3149;3149;04/07/2012;Hazel;27.0;13.0;31675.0;F;licence;Data Steward;78.62;non;0;10
3150;3150;19/08/2011;Bleu;23.0;10.0;39139.0;F;licence;Data Steward;66.45;oui;0;9
3151;3151;15/02/2010;Hazel;14.0;6.0;33159.0;M;doctorat;Data Engineer;;oui;0;3
3152;3152;21/03/2014;Hazel;41.0;9.0;30483.0;F;licence;Data Scientist;76.7;non;0;9
3153;3153;02/08/2012;Marron;44.0;10.0;31270.0;M;licence;Data Engineer;67.48;non;1;1
3154;3154;07/10/2014;Bleu;41.0;8.0;40260.0;M;licence;Data Scientist;37.83;non;0;11
3155;3155;18/12/2010;Hazel;47.0;3.0;31389.0;M;master;Data Scientist;93.88;oui;0;7
3156;3156;31/10/2012;Bleu;60.0;7.0;42835.0;M;licence;Data Engineer;52.98;non;0;13
3157;3157;29/11/2011;Hazel;29.0;8.0;36800.0;M;master;Data Analyst;111.65;oui;0;11
3158;3158;06/05/2013;Hazel;33.0;6.0;34353.0;F;licence;Data Scientist;90.8;non;0;2
3159;3159;31/08/2011;Hazel;26.0;13.0;37389.0;M;bac;Data Scientist;62.18;non;0;15
3160;3160;01/11/2011;Marron;28.0;9.0;33382.0;F;doctorat;Data Scientist;86.28;oui;0;7
3161;3161;13/08/2010;Hazel;47.0;11.0;36525.0;M;master;Data Engineer;77.27;oui;0;12
3162;3162;30/06/2013;Marron;35.0;10.0;31587.0;F;master;Data Scientist;81.31;non;0;7
3163;3163;31/05/2014;Bleu;35.0;5.0;43442.0;F;licence;Data Scientist;71.82;oui;1;4
3164;3164;17/08/2014;Hazel;28.0;8.0;40824.0;F;licence;Data Steward;66.02;oui;0;11
3165;3165;13/05/2013;Vert;34.0;10.0;31453.0;F;bac;Data Analyst;73.58;non;0;11
3166;3166;14/06/2012;Hazel;40.0;8.0;36428.0;M;licence;Data Scientist;54.73;non;0;10
3167;3167;30/10/2014;Hazel;25.0;10.0;29861.0;M;master;Data Scientist;68.55;non;1;8
3168;3168;26/05/2012;Hazel;43.0;0.0;30491.0;M;master;Data Scientist;71.65;non;0;14
3169;3169;12/03/2013;Bleu;26.0;7.0;42214.0;F;master;Data Scientist;81.49;oui;1;10
3170;3170;23/01/2012;Marron;28.0;13.0;37149.0;M;licence;Data Scientist;50.49;non;0;11
3171;3171;02/03/2010;Bleu;41.0;5.0;30931.0;F;licence;Data Engineer;78.19;non;0;6
3172;3172;12/04/2012;Marron;2.0;5.0;39448.0;F;doctorat;Data Steward;92.02;oui;0;14
3173;3173;31/03/2012;Bleu;33.0;12.0;37966.0;M;licence;Data Analyst;81.3;oui;0;13
3174;3174;26/11/2011;Hazel;29.0;8.0;38460.0;M;master;Data Scientist;58.96;oui;0;5
3175;3175;20/04/2012;Bleu;36.0;7.0;28374.0;F;master;Data Steward;94.4;oui;0;7
3176;3176;12/12/2014;Hazel;26.0;10.0;40848.0;F;doctorat;Data Steward;100.34;oui;0;2
3177;3177;17/11/2011;Vert;37.0;7.0;42342.0;M;bac;Data Scientist;54.89;non;0;1
3178;3178;17/01/2012;Hazel;20.0;11.0;34981.0;M;licence;Data Scientist;80.76;non;0;13
3179;3179;09/07/2010;Hazel;41.0;7.0;41019.0;M;master;Data Scientist;82.89;oui;0;10
3180;3180;04/01/2014;Bleu;36.0;8.0;44421.0;M;bac;Data Steward;62.19;oui;0;3
3181;3181;11/10/2011;Marron;45.0;12.0;34561.0;M;master;Data Scientist;84.8;non;0;6
3182;3182;26/09/2014;Hazel;28.0;6.0;33275.0;F;licence;Data Analyst;55.85;non;0;14
3183;3183;13/01/2011;Vert;38.0;11.0;36529.0;M;licence;Data Engineer;103.44;oui;1;11
3184;3184;14/12/2014;Hazel;48.0;11.0;41481.0;M;licence;Data Scientist;62.31;non;0;6
3185;3185;20/03/2012;Vert;41.0;11.0;39431.0;M;bac;Data Scientist;30.08;non;0;10
3186;3186;29/01/2013;Bleu;42.0;14.0;35674.0;M;licence;Data Engineer;77.73;oui;0;15
3187;3187;05/09/2010;Hazel;57.0;9.0;36291.0;M;licence;Data Engineer;64.62;non;0;8
3188;3188;25/03/2012;Vert;49.0;13.0;28482.0;M;bac;Data Scientist;46.09;non;0;8
3189;3189;25/09/2013;Hazel;36.0;9.0;41152.0;M;master;Data Engineer;79.82;oui;0;12
3190;3190;03/12/2011;Vert;40.0;11.0;40562.0;M;bac;Data Scientist;34.95;non;0;1
3191;3191;12/04/2013;Hazel;25.0;11.0;30976.0;M;master;Data Analyst;76.9;oui;0;6
3192;3192;18/10/2010;Vert;28.0;4.0;28656.0;M;licence;Data Scientist;88.6;non;0;15
3193;3193;08/02/2010;Bleu;35.0;6.0;42092.0;M;licence;Data Analyst;42.05;oui;0;10
3194;3194;20/10/2014;Vert;34.0;7.0;38202.0;;bac;Data Scientist;49.13;non;0;9
3195;3195;27/04/2010;Bleu;28.0;13.0;44939.0;M;bac;Data Scientist;61.85;non;0;10
3196;3196;30/10/2014;Bleu;58.0;4.0;19242.0;M;doctorat;Data Scientist;106.32;non;0;1
3197;3197;26/01/2011;Bleu;31.0;13.0;30324.0;M;doctorat;Data Scientist;88.61;oui;1;15
3198;3198;08/04/2012;Marron;40.0;12.0;30373.0;F;doctorat;Data Engineer;99.7;oui;0;1
3199;3199;27/05/2012;Marron;32.0;10.0;35447.0;M;master;Data Scientist;72.74;non;1;4
3200;3200;24/08/2014;Marron;20.0;3.0;37869.0;F;master;Data Engineer;68.06;oui;0;13
3201;3201;22/12/2014;Vert;22.0;;35471.0;M;master;Data Scientist;108.51;oui;1;3
3202;3202;19/03/2010;Bleu;43.0;9.0;40631.0;M;master;Data Scientist;92.36;oui;1;1
3203;3203;06/07/2014;Bleu;59.0;12.0;42165.0;M;licence;Data Scientist;84.44;oui;1;4
3204;3204;18/03/2014;Bleu;29.0;10.0;30983.0;F;licence;Data Steward;88.98;non;0;10
3205;3205;08/03/2014;Marron;29.0;8.0;32499.0;F;master;Data Engineer;33.83;non;1;14
3206;3206;15/03/2010;Marron;33.0;10.0;42134.0;F;master;Data Engineer;70.41;oui;0;6
3207;3207;08/05/2013;Marron;31.0;5.0;34873.0;F;master;Data Scientist;94.07;non;0;14
3208;3208;12/07/2013;Hazel;16.0;10.0;34092.0;M;master;Data Scientist;72.5;non;0;11
3209;3209;12/07/2013;Marron;20.0;11.0;24955.0;F;doctorat;Data Engineer;98.22;oui;0;8
3210;3210;30/08/2010;Bleu;39.0;7.0;29133.0;F;master;Data Engineer;90.46;non;0;10
3211;3211;24/02/2011;Bleu;48.0;11.0;39316.0;M;licence;Data Steward;87.27;oui;0;4
3212;3212;27/05/2011;Marron;35.0;5.0;35122.0;M;doctorat;Data Analyst;76.64;oui;0;11
3213;3213;22/02/2014;Hazel;54.0;10.0;32286.0;F;master;Data Analyst;76.28;non;0;1
3214;3214;07/03/2012;Hazel;47.0;8.0;30115.0;M;master;Data Scientist;75.82;non;1;8
3215;3215;10/08/2012;Bleu;34.0;11.0;30748.0;M;master;Data Analyst;92.19;oui;0;12
3216;3216;03/03/2011;Bleu;36.0;10.0;28962.0;F;bac;Data Scientist;;non;0;1
3217;3217;14/03/2014;Marron;36.0;8.0;25791.0;F;doctorat;Data Analyst;100.03;oui;0;7
3218;3218;01/07/2013;Hazel;;7.0;37585.0;M;licence;Data Scientist;58.45;non;0;7
3219;3219;23/08/2012;Marron;47.0;12.0;28912.0;F;doctorat;Data Engineer;108.93;oui;0;3
3220;3220;24/03/2014;Bleu;48.0;12.0;26394.0;F;licence;Data Scientist;76.79;non;0;4
3221;3221;19/05/2014;Hazel;38.0;14.0;33441.0;M;master;Data Scientist;52.41;non;0;15
3222;3222;03/02/2012;Vert;26.0;17.0;31224.0;F;licence;Data Analyst;77.49;non;0;5
3223;3223;16/01/2011;Bleu;34.0;10.0;37138.0;M;licence;Data Scientist;53.71;non;0;3
3224;3224;23/01/2014;Bleu;30.0;13.0;30980.0;F;bac;Data Scientist;78.53;non;0;1
3225;3225;03/11/2013;Marron;34.0;17.0;44628.0;M;master;Data Engineer;53.76;oui;0;12
3226;3226;22/08/2010;Hazel;15.0;10.0;36482.0;F;master;Data Analyst;98.16;oui;0;14
3227;3227;27/08/2013;Hazel;42.0;5.0;43127.0;F;master;Data Steward;84.27;oui;0;5
3228;3228;17/01/2012;Hazel;30.0;9.0;35119.0;F;licence;Data Analyst;105.9;non;0;8
3229;3229;03/09/2012;Marron;39.0;10.0;34984.0;F;doctorat;Data Engineer;87.7;oui;0;11
3230;3230;24/05/2010;Marron;34.0;6.0;34073.0;M;doctorat;Data Scientist;74.42;oui;0;8
3231;3231;04/08/2011;Vert;43.0;8.0;38075.0;M;;Data Scientist;111.36;oui;1;5
3232;3232;04/02/2012;Hazel;30.0;4.0;35225.0;M;master;Data Scientist;85.35;non;0;4
3233;3233;04/10/2013;Vert;43.0;7.0;41202.0;M;bac;Data Scientist;59.86;non;0;7
3234;3234;30/10/2014;Bleu;51.0;8.0;43086.0;M;licence;Data Engineer;49.7;oui;0;13
3235;3235;27/03/2014;Hazel;35.0;11.0;29067.0;M;doctorat;Data Scientist;96.98;oui;0;6
3236;3236;08/07/2012;Marron;36.0;8.0;42566.0;F;licence;Data Engineer;64.67;non;0;2
3237;3237;21/07/2012;Bleu;35.0;9.0;41959.0;F;licence;Data Scientist;80.8;oui;1;12
3238;3238;26/06/2011;Marron;38.0;4.0;43693.0;F;bac;Data Scientist;27.86;non;0;13
3239;3239;24/03/2010;Marron;12.0;3.0;36922.0;M;doctorat;Data Engineer;101.09;oui;0;6
3240;3240;03/06/2014;Bleu;47.0;9.0;39645.0;M;licence;Data Engineer;75.92;oui;0;4
3241;3241;14/06/2011;Marron;42.0;11.0;36764.0;F;licence;Data Scientist;79.27;non;0;11
3242;3242;11/05/2010;Hazel;14.0;5.0;30643.0;M;master;Data Scientist;77.08;non;1;12
3243;3243;17/06/2011;Marron;34.0;10.0;44106.0;M;doctorat;Data Engineer;91.84;oui;0;2
3244;3244;14/09/2012;Hazel;45.0;9.0;30983.0;M;licence;Data Steward;70.63;non;1;3
3245;3245;04/04/2011;Hazel;27.0;9.0;30355.0;F;master;Data Engineer;82.05;non;0;9
3246;3246;13/08/2010;Bleu;37.0;9.0;37405.0;M;licence;Data Engineer;75.58;oui;0;15
3247;3247;05/12/2013;Marron;18.0;9.0;38720.0;M;doctorat;Data Analyst;80.81;oui;0;6
3248;3248;11/09/2013;Marron;40.0;16.0;36370.0;M;licence;Data Scientist;50.63;non;0;15
3249;3249;18/07/2012;Vert;33.0;9.0;38014.0;F;bac;Data Analyst;73.2;non;0;15
3250;3250;07/09/2013;Marron;25.0;11.0;36782.0;F;master;Data Steward;74.53;oui;0;14
3251;3251;08/01/2014;Hazel;21.0;5.0;29071.0;F;master;Data Engineer;78.36;oui;0;10
3252;3252;10/06/2012;Marron;45.0;17.0;33748.0;F;master;Data Steward;77.52;non;0;11
3253;3253;11/06/2010;Hazel;54.0;9.0;33618.0;F;licence;Data Engineer;81.56;non;0;3
3254;3254;;Hazel;39.0;14.0;35294.0;M;master;Data Scientist;66.88;non;1;14
3255;3255;19/09/2013;Marron;28.0;8.0;37418.0;F;master;Data Engineer;94.66;oui;0;10
3256;3256;14/06/2014;Bleu;45.0;9.0;38598.0;F;licence;Data Analyst;84.73;oui;1;3
3257;3257;02/04/2013;Hazel;32.0;3.0;41066.0;F;bac;Data Scientist;67.67;non;0;13
3258;3258;07/06/2012;Hazel;43.0;14.0;29218.0;F;master;Data Engineer;90.17;oui;0;10
3259;3259;31/08/2013;Hazel;35.0;9.0;36416.0;M;master;Data Scientist;70.94;oui;0;9
3260;3260;23/09/2011;Bleu;48.0;14.0;31959.0;M;master;Data Analyst;80.12;oui;0;10
3261;3261;15/06/2014;Vert;19.0;10.0;29411.0;M;bac;Data Scientist;46.53;non;0;12
3262;3262;04/03/2010;Hazel;30.0;10.0;34378.0;F;licence;Data Analyst;68.4;non;0;5
3263;3263;05/09/2014;Marron;54.0;11.0;31556.0;F;master;Data Scientist;52.15;non;1;13
